Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
3.4,1.83,0.26,-1.22
3.45,1.85,0.17,-0.89
3.5,1.86,0.15,-0.26
3.55,1.86,0.17,0.28
3.6,1.87,0.18,0.43
3.65,1.89,0.22,0.27
3.7,1.88,0.23,-0.08
3.75,1.91,0.21,-0.49
3.8,1.91,0.17,-0.46
3.85,1.92,0.13,-0.11
3.9,1.93,0.17,0.41
3.95,1.94,0.18,0.66
4,1.94,0.24,0.32
4.05,1.95,0.25,-0.32
4.1,1.98,0.19,-0.56
4.15,1.97,0.14,0.11
4.2,1.98,0.19,0.83
4.25,2,0.28,0.85
4.3,2.02,0.29,0.52
4.35,2.02,0.29,0.43
4.4,2.04,0.34,0.47
4.45,2.06,0.37,0.23
4.5,2.08,0.36,-0.21
4.55,2.1,0.34,-0.46
4.6,2.11,0.3,-0.55
4.65,2.13,0.29,-0.51
4.7,2.14,0.24,-0.38
4.75,2.16,0.24,-0.3
4.8,2.16,0.23,-0.29
4.85,2.18,0.21,-0.33
4.9,2.18,0.19,-0.26
4.95,2.2,0.19,-0.34
5,2.2,0.18,-0.57
5.05,2.22,0.12,-0.51
5.1,2.21,0.08,0.08
5.15,2.22,0.13,0.42
5.2,2.23,0.19,0.13
5.25,2.25,0.14,-0.21
5.3,2.24,0.12,0.01
5.35,2.24,0.14,0.47
5.4,2.26,0.19,0.32
5.45,2.27,0.2,0.09
5.5,2.28,0.15,0.13
5.55,2.29,0.21,0.27
5.6,2.28,0.22,0.13
5.65,2.32,0.21,-0.22
5.7,2.31,0.19,-0.04
5.75,2.33,0.18,0.29
5.8,2.34,0.25,0.33
5.85,2.35,0.24,0.01
5.9,2.36,0.22,-0.34
5.95,2.37,0.2,-0.35
6,2.38,0.18,-0.26
6.05,2.39,0.18,-0.09
6.1,2.4,0.17,0.23
6.15,2.41,0.19,0.6
6.2,2.42,0.24,0.55
6.25,2.43,0.29,-0.23
6.3,2.45,0.24,-1.06
6.35,2.46,0.12,-1.05
6.4,2.46,0.09,0.12
6.45,2.46,0.12,1.16
6.5,2.48,0.28,0.72
6.55,2.48,0.28,-0.95
6.6,2.53,0.14,-2.33
6.65,2.5,-0.03,-1.8
6.7,2.5,-0.11,-0.33
6.75,2.5,-0.01,0.62
6.8,2.5,0.02,0.59
6.85,2.5,0.03,-0.15
6.9,2.5,0.03,-1.07
6.95,2.5,-0.07,-1.72
7,2.5,-0.21,-1.14
7.05,2.47,-0.25,0.6
7.1,2.47,-0.13,1.66
7.15,2.46,0.04,0.92
7.2,2.47,0.01,-0.64
7.25,2.48,-0.11,-1.24
7.3,2.46,-0.18,-0.55
7.35,2.45,-0.15,0.2
7.4,2.45,-0.11,0.29
7.45,2.44,-0.11,-0.05
7.5,2.43,-0.13,-0.44
7.55,2.43,-0.15,-0.46
7.6,2.42,-0.2,-0.16
7.65,2.41,-0.17,0
7.7,2.4,-0.16,-0.3
7.75,2.4,-0.2,-0.74
7.8,2.38,-0.27,-0.71
7.85,2.37,-0.29,-0.47
7.9,2.35,-0.28,-0.38
7.95,2.34,-0.32,-0.41
8,2.32,-0.34,-0.39
8.05,2.3,-0.35,-0.37
8.1,2.29,-0.37,-0.33
8.15,2.27,-0.4,0.17
8.2,2.24,-0.39,0.81
8.25,2.23,-0.28,0.78
8.3,2.21,-0.25,0.03
8.35,2.21,-0.31,-0.46
8.4,2.18,-0.35,0.11
8.45,2.16,-0.31,0.82
8.5,2.15,-0.21,0.89
8.55,2.14,-0.21,0.44
8.6,2.13,-0.19,-0.11
8.65,2.12,-0.2,-0.6
8.7,2.12,-0.25,-0.97
8.75,2.1,-0.33,-0.74
8.8,2.08,-0.36,-0.19
8.85,2.06,-0.32,0.03
8.9,2.05,-0.32,-0.27
8.95,2.03,-0.36,-0.63
9,2.01,-0.4,-0.66
9.05,1.99,-0.43,-0.56
9.1,1.97,-0.45,-0.41
9.15,1.94,-0.48,-0.14
9.2,1.92,-0.47,0.16
9.25,1.9,-0.44,0.29
9.3,1.88,-0.43,0.21
9.35,1.86,-0.43,0.2
9.4,1.83,-0.43,0.55
9.45,1.81,-0.39,0.98
9.5,1.8,-0.31,1
9.55,1.78,-0.25,0.46
9.6,1.78,-0.26,-0.2
9.65,1.76,-0.3,-0.22
9.7,1.74,-0.32,0.35
9.75,1.72,-0.26,0.68
9.8,1.71,-0.19,0.15
9.85,1.71,-0.22,-0.82
9.9,1.7,-0.32,-1.05
9.95,1.67,-0.38,-0.31
10,1.65,-0.35,0.38
10.05,1.64,-0.29,0.25
10.1,1.63,-0.3,-0.42
10.15,1.61,-0.35,-0.75
10.2,1.59,-0.41,-0.36
10.25,1.57,-0.41,0.17
10.3,1.55,-0.36,0.3
10.35,1.53,-0.35,0.05
10.4,1.52,-0.37,-0.08
10.45,1.49,-0.38,0.15
10.5,1.48,-0.36,0.39
10.55,1.46,-0.32,0.47
10.6,1.44,-0.31,0.51
10.65,1.43,-0.28,0.45
10.7,1.41,-0.24,0.16
10.75,1.4,-0.25,-0.24
10.8,1.39,-0.29,-0.31
10.85,1.37,-0.3,-0.03
10.9,1.36,-0.28,0.11
10.95,1.35,-0.27,-0.04
11,1.33,-0.29,-0.32
11.05,1.32,-0.31,-0.56
11.1,1.3,-0.34,-0.7
11.15,1.28,-0.39,-0.66
11.2,1.26,-0.42,-0.39
11.25,1.24,-0.43,-0.07
11.3,1.22,-0.42,0.12
11.35,1.2,-0.41,0.2
11.4,1.18,-0.4,0.28
11.45,1.16,-0.39,0.44
11.5,1.14,-0.36,0.6
11.55,1.12,-0.32,0.73
11.6,1.11,-0.29,0.78
11.65,1.09,-0.24,0.74
11.7,1.08,-0.2,0.59
11.75,1.07,-0.18,0.39
11.8,1.07,-0.17,0.26
11.85,1.06,-0.16,0.24
11.9,1.05,-0.15,0.23
11.95,1.04,-0.13,0.1
12,1.04,-0.13,-0.14
12.05,1.03,-0.15,-0.37
12.1,1.02,-0.17,-0.49
12.15,1.01,-0.2,-0.55
12.2,1,-0.23,-0.57
12.25,0.99,-0.26,-0.57
12.3,0.98,-0.28,-0.48
12.35,0.96,-0.31,-0.26
12.4,0.95,-0.32,0.000575
12.45,0.93,-0.3,0.21
12.5,0.91,-0.29,0.23
12.55,0.9,-0.27,0.16
12.6,0.88,-0.28,0.13
12.65,0.88,-0.27,0.17
12.7,0.86,-0.26,0.34
12.75,0.85,-0.24,0.52
12.8,0.84,-0.2,0.66
12.85,0.82,-0.17,0.66
12.9,0.82,-0.13,0.53
12.95,0.81,-0.11,0.43
13,0.81,-0.1,0.4
13.05,0.8,-0.07,0.45
13.1,0.8,-0.05,0.49
13.15,0.8,-0.03,0.5
13.2,0.8,0.000576,0.47
13.25,0.8,0.03,0.41
13.3,0.8,0.04,0.38
13.35,0.8,0.06,0.4
13.4,0.8,0.08,0.35
13.45,0.81,0.1,0.31
13.5,0.82,0.1,0.49
13.55,0.82,0.13,0.76
13.6,0.83,0.2,0.75
13.65,0.84,0.23,0.42
13.7,0.85,0.23,0.21
13.75,0.86,0.23,0.3
13.8,0.88,0.26,0.5
13.85,0.89,0.29,0.56
13.9,0.9,0.32,0.45
13.95,0.92,0.34,0.3
14,0.94,0.34,0.13
14.05,0.95,0.35,-0.01
14.1,0.98,0.35,-0.25
14.15,0.99,0.33,-0.48
14.2,1.01,0.29,-0.58
14.25,1.02,0.27,-0.58
14.3,1.03,0.24,-0.54
14.35,1.04,0.21,-0.5
14.4,1.05,0.19,-0.41
14.45,1.06,0.17,-0.3
14.5,1.07,0.15,-0.14
14.55,1.08,0.15,-0.02
14.6,1.09,0.16,-0.1
14.65,1.09,0.16,-0.33
14.7,1.1,0.12,-0.38
14.75,1.11,0.09,-0.04
14.8,1.11,0.11,0.41
14.85,1.12,0.15,0.57
14.9,1.13,0.18,0.46
14.95,1.14,0.19,0.36
15,1.14,0.21,0.32
15.05,1.16,0.23,0.25
15.1,1.17,0.23,0.23
15.15,1.18,0.24,0.34
15.2,1.19,0.27,0.36
15.25,1.21,0.3,0.21
15.3,1.22,0.29,0.1
15.35,1.24,0.29,0.14
15.4,1.25,0.31,0.14
15.45,1.27,0.32,-0.03
15.5,1.28,0.3,-0.2
15.55,1.3,0.29,-0.3
15.6,1.31,0.28,-0.41
15.65,1.33,0.25,-0.49
15.7,1.34,0.22,-0.51
15.75,1.35,0.2,-0.57
15.8,1.36,0.17,-0.65
15.85,1.37,0.13,-0.51
15.9,1.37,0.1,-0.08
15.95,1.37,0.12,0.34
16,1.38,0.15,0.45
16.05,1.39,0.17,0.3
16.1,1.4,0.18,0.1
16.15,1.41,0.18,0.06
16.2,1.42,0.18,0.27
16.25,1.42,0.2,0.51
16.3,1.44,0.25,0.54
16.35,1.45,0.26,0.43
16.4,1.46,0.28,0.42
16.45,1.48,0.3,0.49
16.5,1.5,0.34,0.35
16.55,1.51,0.35,0.04
16.6,1.53,0.33,-0.24
16.65,1.55,0.32,-0.24
16.7,1.56,0.3,-0.16
16.75,1.58,0.31,-0.27
16.8,1.59,0.29,-0.44
16.85,1.61,0.24,-0.49
16.9,1.62,0.23,-0.37
16.95,1.62,0.22,-0.43
17,1.64,0.2,-0.64
17.05,1.65,0.15,-0.57
17.1,1.65,0.12,-0.22
17.15,1.66,0.13,0.12
17.2,1.67,0.15,0.22
17.25,1.67,0.15,0.32
17.3,1.68,0.16,0.6
17.35,1.69,0.21,0.68
17.4,1.7,0.27,0.25
17.45,1.72,0.25,-0.35
17.5,1.73,0.2,-0.36
17.55,1.73,0.17,0.33
17.6,1.74,0.24,0.83
17.65,1.76,0.31,0.5
17.7,1.78,0.31,-0.2
17.75,1.79,0.26,-0.48
17.8,1.8,0.23,-0.19
17.85,1.81,0.24,0.31
17.9,1.83,0.27,0.44
17.95,1.84,0.32,-0.04
18,1.86,0.29,-0.8
18.05,1.88,0.21,-1.1
18.1,1.87,0.14,-0.45
18.15,1.88,0.14,0.29
18.2,1.89,0.22,0.42
18.25,1.9,0.21,-0.01
18.3,1.92,0.19,-0.36
18.35,1.92,0.17,-0.22
18.4,1.93,0.16,0.1
18.45,1.94,0.18,0.41
18.5,1.95,0.21,0.47
18.55,1.96,0.24,0.33
18.6,1.98,0.24,0.38
18.65,1.98,0.25,0.66
18.7,2,0.31,0.83
18.75,2.01,0.36,0.59
18.8,2.04,0.37,0.06
18.85,2.05,0.36,-0.46
18.9,2.07,0.33,-0.99
18.95,2.09,0.27,-0.96
19,2.1,0.17,-0.36
19.05,2.1,0.23,0.18
19.1,2.11,0.26,0.2
19.15,2.14,0.23,-0.14
19.2,2.13,0.23,-0.29
19.25,2.15,0.22,-0.71
19.3,2.17,0.19,-1.2
19.35,2.17,0.06,-1.01
19.4,2.17,0.02,-0.14
19.45,2.17,0.08,0.68
19.5,2.18,0.13,0.79
19.55,2.19,0.16,0.59
19.6,2.19,0.18,0.48
19.65,2.2,0.2,0.41
19.7,2.21,0.23,0.26
19.75,2.23,0.23,0.16
19.8,2.24,0.23,0.24
19.85,2.25,0.25,0.43
19.9,2.26,0.28,0.55
19.95,2.28,0.31,0.42
20,2.29,0.33,0.02
20.05,2.31,0.32,-0.48
20.1,2.33,0.28,-0.77
20.15,2.34,0.22,-0.69
20.2,2.35,0.2,-0.46
20.25,2.36,0.19,-0.29
20.3,2.37,0.17,-0.09
20.35,2.37,0.17,0.17
20.4,2.38,0.2,0.27
20.45,2.39,0.22,0.06
20.5,2.41,0.2,-0.4
20.55,2.41,0.18,-0.77
20.6,2.42,0.11,-0.89
20.65,2.43,0.07,-0.32
20.7,2.42,0.04,0.49
20.75,2.44,0.15,0.54
20.8,2.43,0.18,-0.38
20.85,2.47,0.1,-1.37
20.9,2.44,-0.01,-1.07
20.95,2.45,-0.06,-0.16
21,2.45,0.02,0.37
21.05,2.45,0.02,0.25
21.1,2.45,0.02,-0.01
21.15,2.45,0.01,-0.01
21.2,2.45,0.02,-0.12
21.25,2.45,0.01,-0.33
21.3,2.45,-0.02,-0.52
21.35,2.45,-0.05,-0.54
21.4,2.45,-0.07,-0.5
21.45,2.44,-0.1,-0.63
21.5,2.44,-0.12,-0.95
21.55,2.43,-0.19,-1.26
21.6,2.42,-0.26,-1.2
21.65,2.4,-0.33,-0.67
21.7,2.39,-0.34,0.05
21.75,2.37,-0.31,0.46
21.8,2.36,-0.27,0.24
21.85,2.34,-0.27,-0.23
21.9,2.34,-0.32,-0.39
21.95,2.31,-0.33,0.15
22,2.29,-0.32,0.82
22.05,2.28,-0.22,0.78
22.1,2.27,-0.19,-0.08
22.15,2.27,-0.23,-1.08
22.2,2.25,-0.33,-1.15
22.25,2.23,-0.4,-0.35
22.3,2.21,-0.36,0.51
22.35,2.19,-0.3,0.62
22.4,2.18,-0.27,0.06
22.45,2.17,-0.3,-0.46
22.5,2.15,-0.35,-0.48
22.55,2.13,-0.37,-0.11
22.6,2.11,-0.35,0.29
22.65,2.1,-0.33,0.63
22.7,2.08,-0.3,0.72
22.75,2.06,-0.23,0.19
22.8,2.05,-0.23,-0.94
22.85,2.05,-0.34,-1.82
22.9,2.02,-0.48,-1.55
22.95,1.99,-0.54,-0.46
23,1.97,-0.5,0.43
23.05,1.94,-0.45,0.58
23.1,1.92,-0.43,0.35
23.15,1.9,-0.43,0.38
23.2,1.88,-0.41,0.67
23.25,1.86,-0.36,0.96
23.3,1.84,-0.3,0.86
23.35,1.83,-0.25,0.34
23.4,1.82,-0.26,-0.23
23.45,1.81,-0.3,-0.49
23.5,1.79,-0.33,-0.35
23.55,1.77,-0.33,-0.31
23.6,1.76,-0.33,-0.45
23.65,1.74,-0.39,-0.45
23.7,1.72,-0.41,-0.21
23.75,1.7,-0.39,-0.04
23.8,1.68,-0.39,-0.26
23.85,1.66,-0.42,-0.6
23.9,1.64,-0.46,-0.56
23.95,1.62,-0.5,-0.2
24,1.59,-0.47,0.22
24.05,1.56,-0.46,0.44
24.1,1.55,-0.43,0.45
24.15,1.51,-0.41,0.35
24.2,1.5,-0.39,0.05
24.25,1.49,-0.4,-0.05
24.3,1.46,-0.43,0.26
24.35,1.44,-0.39,0.68
24.4,1.42,-0.32,0.7
24.45,1.41,-0.3,0.41
24.5,1.39,-0.31,0.3
24.55,1.38,-0.28,0.27
24.6,1.36,-0.25,0
24.65,1.35,-0.27,-0.48
24.7,1.34,-0.32,-0.75
24.75,1.32,-0.36,-0.68
24.8,1.3,-0.39,-0.51
24.85,1.28,-0.41,-0.43
24.9,1.26,-0.43,-0.43
24.95,1.24,-0.45,-0.37
25,1.22,-0.47,-0.15
25.05,1.19,-0.47,0.2
25.1,1.17,-0.45,0.49
25.15,1.15,-0.41,0.62
25.2,1.13,-0.38,0.58
25.25,1.11,-0.35,0.51
25.3,1.09,-0.33,0.46
25.35,1.07,-0.31,0.42
25.4,1.06,-0.29,0.34
25.45,1.05,-0.27,0.2
25.5,1.03,-0.27,0.06
25.55,1.02,-0.27,-0.05
25.6,1.01,-0.27,-0.15
25.65,0.99,-0.28,-0.24
25.7,0.98,-0.3,-0.33
25.75,0.96,-0.32,-0.44
25.8,0.95,-0.34,-0.5
25.85,0.93,-0.37,-0.43
25.9,0.91,-0.39,-0.23
25.95,0.89,-0.39,-0.05
26,0.87,-0.39,-0.01
26.05,0.85,-0.39,-0.02
26.1,0.83,-0.4,0.08
26.15,0.81,-0.39,
26.2,0.79,-0.37,
26.25,0.77,,
