"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
9.300,2.38,0.00,0.04
9.350,2.38,0.00,0.06
9.400,2.38,0.01,0.05
9.450,2.38,0.01,0.03
9.500,2.38,0.01,0.00
9.550,2.38,0.01,0.02
9.600,2.38,0.01,-0.02
9.650,2.38,0.01,-0.06
9.700,2.38,0.00,-0.06
9.750,2.39,0.00,-0.08
9.800,2.39,0.00,-0.14
9.850,2.39,-0.01,-0.19
9.900,2.39,-0.02,-0.10
9.950,2.38,-0.03,0.12
10.000,2.38,-0.01,0.32
10.050,2.38,0.01,0.39
10.100,2.38,0.03,0.31
10.150,2.39,0.04,0.13
10.200,2.39,0.05,-0.01
10.250,2.39,0.04,-0.08
10.300,2.39,0.04,-0.09
10.350,2.39,0.03,-0.15
10.400,2.40,0.02,-0.30
10.450,2.40,0.00,-0.32
10.500,2.40,-0.02,-0.04
10.550,2.39,-0.02,
10.600,2.39,0.03,
10.650,2.40,,
